Earnings,Cost,Grad,Debt,City
44800,22920,62,88,1
45100,23429,73,92,0
42300,19567,63,87,0
49200,25147,78,92,0
37900,21979,78,93,1
74900,29886,86,98,1
60600,34603,84,95,1
52900,28107,65,90,1
44000,23583,65,95,0
54500,34086,68,92,1
45200,19156,61,83,1
40400,31564,62,89,1
51800,33821,74,87,1
44100,23415,80,94,1
38600,22644,56,88,0
51900,19647,54,85,1
47600,23518,81,98,0
35900,16575,43,71,0
48300,27080,69,90,0
52100,29678,85,95,1
42300,21713,62,90,0
44400,13902,65,86,0
50900,27652,69,93,0
61100,33742,67,90,1
32300,19414,71,96,0
40800,29864,63,81,1
48100,19466,74,91,0
43600,22787,60,89,1
44500,31898,83,96,0
42800,31810,72,96,0
37600,21558,57,82,1
34000,14398,37,77,0
38000,24266,47,88,0
39700,15403,57,81,1
43300,24402,63,92,0
52800,28155,82,95,1
45500,24246,67,91,1
50100,23162,83,95,0
43400,20967,40,87,1
40500,22231,71,87,1
48600,30720,78,95,0
37000,20252,58,80,0
50400,31958,76,96,0
35100,24423,54,80,1
45200,24614,75,96,0
49400,21531,79,93,1
48100,23921,67,93,0
40900,25316,49,88,1
36700,32534,46,86,1
43400,32636,75,96,1
51300,24893,68,93,0
46000,25613,41,74,0
41300,21546,57,83,1
42800,21127,64,90,1
35500,33074,41,76,1
42600,22473,59,89,0
44600,20675,73,95,0
50600,25918,38,78,0
38400,22275,61,87,1
39000,25539,62,81,1
40700,15685,58,89,0
50000,24730,74,91,1
43900,25936,70,93,0
45500,22204,67,93,1
35600,28458,41,78,0
44000,17437,66,87,0
43900,19721,59,79,0
41200,24850,59,86,0
58400,24961,53,86,1
45900,23486,70,93,0
34700,13735,32,52,0
59600,34841,86,96,1
56400,35159,76,96,0
53100,21046,58,85,1
39600,9938,43,84,0
48100,28210,67,89,0
42800,19254,73,90,0
42500,26451,65,89,0
47200,33838,62,93,0
42200,29427,69,83,0
46900,22593,68,90,0
55200,33557,77,92,1
51400,29085,69,93,1
46400,31293,70,67,1
45100,27674,67,80,1
42600,21815,64,86,0
49900,27507,56,84,1
50000,24954,75,95,0
56600,28912,81,93,1
46500,20845,66,86,1
38900,16681,65,90,0
44400,21455,75,91,0
64500,30206,80,95,1
43200,25702,67,87,1
53200,22389,81,96,1
51400,29362,77,92,1
45900,29140,55,86,1
52400,30394,81,90,0
51500,32115,78,94,1
53800,25057,72,91,1
55500,26608,85,93,1
56300,31593,75,92,1
61000,31915,68,87,1
44400,27955,59,87,1
66400,30318,57,89,1
43200,22124,64,90,0
49900,26491,76,93,0
48300,30255,69,92,0
33600,19739,57,86,0
43100,18292,59,82,0
55100,28517,61,92,1
45100,33181,67,86,0
51700,27387,56,83,0
49200,30312,78,93,1
36100,15311,54,76,1
42700,26616,64,90,1
